Episode,Total Steps
0,8.0
1,7.0
2,6.0
3,6.0
4,8.0
5,7.0
6,8.0
7,6.0
8,8.0
9,6.0
10,7.0
11,7.0
12,9.0
13,8.0
14,8.0
15,8.0
16,7.0
17,9.0
18,6.0
19,7.0
20,8.0
21,8.0
22,6.0
23,7.0
24,7.0
25,8.0
26,7.0
27,7.0
28,6.0
29,6.0
30,8.0
31,6.0
32,9.0
33,7.0
34,7.0
35,8.0
36,7.0
37,9.0
38,7.0
39,8.0
40,7.0
41,6.0
42,8.0
43,8.0
44,6.0
45,6.0
46,9.0
47,8.0
48,7.0
49,6.0
50,7.0
51,8.0
52,8.0
53,9.0
54,8.0
55,7.0
56,9.0
57,10.0
58,8.0
59,6.0
60,7.0
61,8.0
62,6.0
63,9.0
64,6.0
65,7.0
66,6.0
67,7.0
68,8.0
69,8.0
70,9.0
71,7.0
72,9.0
73,7.0
74,6.0
75,6.0
76,7.0
77,9.0
78,8.0
79,9.0
80,7.0
81,6.0
82,8.0
83,7.0
84,8.0
85,6.0
86,7.0
87,8.0
88,7.0
89,7.0
90,7.0
91,8.0
92,8.0
93,8.0
94,8.0
95,6.0
96,7.0
97,9.0
98,7.0
99,10.0
100,8.0
101,8.0
102,8.0
103,6.0
104,6.0
105,6.0
106,8.0
107,6.0
108,7.0
109,8.0
110,7.0
111,8.0
112,9.0
113,8.0
114,7.0
115,8.0
116,6.0
117,9.0
118,7.0
119,9.0
120,6.0
121,9.0
122,6.0
123,6.0
124,7.0
125,6.0
126,8.0
127,7.0
128,8.0
129,8.0
130,7.0
131,6.0
132,9.0
133,7.0
134,8.0
135,6.0
136,7.0
137,7.0
138,7.0
139,6.0
140,7.0
141,6.0
142,8.0
143,7.0
144,7.0
145,6.0
146,6.0
147,9.0
148,7.0
149,7.0
150,8.0
151,8.0
152,7.0
153,8.0
154,6.0
155,8.0
156,8.0
157,6.0
158,6.0
159,6.0
160,8.0
161,8.0
162,6.0
163,9.0
164,6.0
165,6.0
166,7.0
167,9.0
168,6.0
169,7.0
170,7.0
171,7.0
172,7.0
173,7.0
174,6.0
175,8.0
176,8.0
177,8.0
178,8.0
179,6.0
180,6.0
181,8.0
182,7.0
183,6.0
184,7.0
185,6.0
186,9.0
187,8.0
188,9.0
189,6.0
190,8.0
191,8.0
192,6.0
193,6.0
194,6.0
195,9.0
196,7.0
197,6.0
198,7.0
199,8.0
200,9.0
201,8.0
202,9.0
203,9.0
204,7.0
205,6.0
206,6.0
207,7.0
208,6.0
209,7.0
210,7.0
211,7.0
212,8.0
213,9.0
214,7.0
215,8.0
216,7.0
217,9.0
218,8.0
219,8.0
220,9.0
221,7.0
222,7.0
223,8.0
224,7.0
225,8.0
226,6.0
227,8.0
228,8.0
229,10.0
230,7.0
231,7.0
232,9.0
233,7.0
234,9.0
235,8.0
236,8.0
237,6.0
238,7.0
239,7.0
240,9.0
241,8.0
242,7.0
243,11.0
244,10.0
245,8.0
246,7.0
247,8.0
248,7.0
249,6.0
250,7.0
251,8.0
252,6.0
253,6.0
254,8.0
255,8.0
256,6.0
257,9.0
258,7.0
259,8.0
260,7.0
261,7.0
262,7.0
263,6.0
264,6.0
265,7.0
266,8.0
267,8.0
268,8.0
269,8.0
270,7.0
271,9.0
272,7.0
273,7.0
274,9.0
275,9.0
276,7.0
277,7.0
278,7.0
279,6.0
280,8.0
281,9.0
282,7.0
283,6.0
284,7.0
285,6.0
286,8.0
287,7.0
288,9.0
289,8.0
290,7.0
291,8.0
292,7.0
293,8.0
294,7.0
295,6.0
296,8.0
297,7.0
298,6.0
299,7.0
300,7.0
301,6.0
302,6.0
303,6.0
304,10.0
305,8.0
306,8.0
307,6.0
308,8.0
309,6.0
310,8.0
311,8.0
312,8.0
313,6.0
314,7.0
315,7.0
316,6.0
317,7.0
318,6.0
319,7.0
320,7.0
321,8.0
322,6.0
323,7.0
324,6.0
325,9.0
326,7.0
327,7.0
328,8.0
329,7.0
330,7.0
331,6.0
332,7.0
333,6.0
334,7.0
335,7.0
336,6.0
337,6.0
338,9.0
339,8.0
340,9.0
341,8.0
342,8.0
343,8.0
344,6.0
345,7.0
346,7.0
347,7.0
348,7.0
349,7.0
350,6.0
351,7.0
352,8.0
353,7.0
354,8.0
355,9.0
356,7.0
357,8.0
358,7.0
359,9.0
360,8.0
361,8.0
362,7.0
363,7.0
364,7.0
365,6.0
366,7.0
367,6.0
368,7.0
369,6.0
370,7.0
371,9.0
372,7.0
373,7.0
374,8.0
375,9.0
376,11.0
377,8.0
378,7.0
379,8.0
380,6.0
381,8.0
382,6.0
383,8.0
384,7.0
385,9.0
386,7.0
387,8.0
388,8.0
389,8.0
390,7.0
391,6.0
392,7.0
393,9.0
394,9.0
395,10.0
396,8.0
397,7.0
398,8.0
399,9.0
400,9.0
401,7.0
402,9.0
403,9.0
404,8.0
405,9.0
406,8.0
407,6.0
408,7.0
409,7.0
410,7.0
411,6.0
412,7.0
413,6.0
414,6.0
415,9.0
416,6.0
417,7.0
418,7.0
419,9.0
420,7.0
421,9.0
422,8.0
423,7.0
424,9.0
425,7.0
426,7.0
427,8.0
428,9.0
429,8.0
430,7.0
431,8.0
432,6.0
433,10.0
434,6.0
435,6.0
436,7.0
437,8.0
438,8.0
439,7.0
440,8.0
441,8.0
442,6.0
443,6.0
444,7.0
445,7.0
446,8.0
447,8.0
448,9.0
449,7.0
450,9.0
451,8.0
452,7.0
453,7.0
454,7.0
455,7.0
456,8.0
457,7.0
458,7.0
459,6.0
460,7.0
461,9.0
462,9.0
463,6.0
464,8.0
465,9.0
466,9.0
467,8.0
468,7.0
469,7.0
470,8.0
471,7.0
472,8.0
473,7.0
474,7.0
475,9.0
476,6.0
477,7.0
478,7.0
479,6.0
480,11.0
481,7.0
482,9.0
483,6.0
484,6.0
485,7.0
486,7.0
487,8.0
488,6.0
489,7.0
490,7.0
491,6.0
492,8.0
493,6.0
494,8.0
495,7.0
496,8.0
497,7.0
498,6.0
499,6.0
500,9.0
501,9.0
502,10.0
503,10.0
504,6.0
505,9.0
506,8.0
507,7.0
508,8.0
509,9.0
510,9.0
511,7.0
512,7.0
513,7.0
514,6.0
